id,datum,pacient_prvni_zaznam,kum_pacient_prvni_zaznam,pocet_hosp,stav_bez_priznaku,stav_lehky,stav_stredni,stav_tezky,jip,kyslik,hfno,upv,ecmo,tezky_upv_ecmo,umrti,kum_umrti
cafed653-f34c-4f9d-ae42-e660b5902473,2020-03-01,,,,,,,,,,,,,,,
8529229f-8601-4d49-bf0d-8a69eb5409ed,2020-03-02,,,,,,,,,,,,,,,
43720fa7-939d-4bf4-a715-521e143d10a7,2020-03-03,,,,,,,,,,,,,,,
052e5176-4817-471e-9f7b-a28962987da5,2020-03-04,,,,,,,,,,,,,,,
396652ab-4610-4859-a3a1-f787a7c904b4,2020-03-05,,,,,,,,,,,,,,,
f059fffd-336c-40a0-ac66-199395ea35de,2020-03-06,,,,,,,,,,,,,,,
c281e82b-8e51-408b-9051-8e1b6cf12b19,2020-03-07,,,,,,,,,,,,,,,
4a363967-909f-4e64-8b85-bf617ec3a374,2020-03-08,,,,,,,,,,,,,,,
3db1435c-ebd5-4c2e-baf3-e707cee25419,2020-03-09,,,,,,,,,,,,,,,
cbd5ba8f-fc94-4dc6-887a-f15274aeec23,2020-03-10,,,,,,,,,,,,,,,
0d6f211b-3c2f-4739-b263-9dd4c61e9c01,2020-03-11,2,2,2,0,2,0,0,,0,0,0,0,,,
b46765b3-e097-40e1-a365-8de2ff18106d,2020-03-12,1,3,3,0,2,1,0,,0,0,0,0,,,
0df2d336-2c72-4a7b-9547-10c6e4cd5733,2020-03-13,2,5,4,0,3,1,0,,0,0,0,0,,,
1d87c449-18b4-40e7-a91d-dc95fe0a5af4,2020-03-14,1,6,4,1,3,0,0,,1,0,0,0,,,
d68e7532-d29e-4603-8670-bdcb97d02c36,2020-03-15,2,8,6,1,5,0,0,,1,0,0,0,,,
3126cf76-a57e-4947-a129-4edcc034f204,2020-03-16,14,22,19,3,8,6,2,3,4,0,2,1,2,,
1ca75bbf-8436-47b5-833e-2b1efc92df4d,2020-03-17,31,53,49,7,24,13,5,7,8,0,4,1,5,,
60ece4c5-6bb7-497e-a9e6-c017265f07c4,2020-03-18,5,58,50,7,25,12,6,9,10,0,4,1,6,,
de26c7e2-4977-44b0-9910-5a027f87f8fb,2020-03-19,8,66,55,8,29,12,6,10,9,0,4,1,6,,
56158160-0293-491d-a45f-7feac129e2aa,2020-03-20,14,80,66,9,32,10,15,16,14,0,8,1,15,,
e8ae358a-fc4f-4172-a865-6881deaa2513,2020-03-21,18,98,79,5,41,19,14,18,23,0,11,1,14,,
2155ecdd-4807-4fa9-b8d9-89ea0c813896,2020-03-22,22,120,97,6,49,26,16,27,27,0,16,1,18,1,1
82d8c72a-39d6-4458-b0f3-77430c8e6729,2020-03-23,26,146,117,7,54,34,22,31,31,0,19,1,22,,1
fa0718ff-c776-4dd0-9a4a-b84e44343d6f,2020-03-24,25,171,135,8,54,47,26,41,43,0,23,1,26,2,3
94f9513f-5624-4686-b6ef-644d2a7ea9fd,2020-03-25,47,218,175,8,55,77,35,54,61,0,26,1,36,5,8
2768ca3f-642d-407d-91b9-5a6259cf1058,2020-03-26,49,267,205,5,72,91,37,51,63,0,30,1,38,,8
4ffcd495-a434-4543-a990-f617be6025c5,2020-03-27,40,307,237,5,68,117,47,59,84,0,33,1,48,2,10
d973c21e-3f43-4d74-962a-8ea1c0bb2aab,2020-03-28,45,352,271,10,85,120,56,63,98,0,37,1,57,4,14
25e98429-3908-4ecf-8063-547acbef46ec,2020-03-29,28,380,282,11,103,115,53,61,98,0,37,2,53,5,19
2bb4242d-711e-4db8-b487-5430035dba05,2020-03-30,24,404,294,8,101,119,66,73,107,0,47,3,66,4,23
7e36a1df-5e0a-47b6-99ad-417c420a0448,2020-03-31,44,448,322,8,107,135,72,82,110,0,55,3,72,6,29
96f51922-4e34-442b-8826-6a23935dd8b6,2020-04-01,45,493,345,12,121,138,74,88,104,0,59,4,74,7,36
25a06b26-e2e9-4c74-b1a5-48692b42925a,2020-04-02,39,532,351,15,125,135,76,87,102,0,65,2,76,5,41
9bf2a258-5858-4a17-b325-c14b15e4b3fa,2020-04-03,41,573,375,24,118,147,86,94,126,0,65,2,86,7,48
482583f4-e23b-4d0a-ba08-8b3098521fa9,2020-04-04,29,602,365,20,104,157,84,90,131,0,62,2,84,8,56
7ffa8cc9-13e0-41ff-a7d6-6d29ab79e1ac,2020-04-05,25,627,371,19,112,158,82,91,138,0,62,2,82,8,64
9cff9a95-cac7-42d3-98da-2b8f25a880d6,2020-04-06,38,665,395,24,121,163,87,96,133,0,65,2,88,8,72
d1a2fc33-a028-400b-9a7b-0ce6a0aefc4d,2020-04-07,42,707,413,34,117,162,100,102,137,0,64,2,100,8,80
